SMILES,with_star,no_star,num_star,ring_count,logP,TPSA,HBD,HBA
C1=CNC=C1,C1=CNC=C1,C1=CNC=C1,0,1,0.617,12.03,1,1
C1=CNC=C1[1*],C1=CNC=C1[1*],C1=CNC=C1,1,1,0.617,12.03,1,1
C1=CNC([1*])=C1,C1=CNC([1*])=C1,C1=CNC=C1,1,1,0.617,12.03,1,1
C1=CNC([1*])=C1[2*],C1=CNC([1*])=C1[2*],C1=CNC=C1,2,1,0.617,12.03,1,1
C1=CN([1*])C=C1,C1=CN([1*])C=C1,C1=CNC=C1,1,1,0.617,12.03,1,1
C1=CN([1*])C=C1[2*],C1=CN([1*])C=C1[2*],C1=CNC=C1,2,1,0.617,12.03,1,1
C1=CN([1*])C([2*])=C1,C1=CN([1*])C([2*])=C1,C1=CNC=C1,2,1,0.617,12.03,1,1
C1=CN([1*])C([2*])=C1[3*],C1=CN([1*])C([2*])=C1[3*],C1=CNC=C1,3,1,0.617,12.03,1,1
C1=C([1*])NC=C1,C1=C([1*])NC=C1,C1=CNC=C1,1,1,0.617,12.03,1,1
C1=C([1*])NC=C1[2*],C1=C([1*])NC=C1[2*],C1=CNC=C1,2,1,0.617,12.03,1,1
C1=C([1*])NC([2*])=C1,C1=C([1*])NC([2*])=C1,C1=CNC=C1,2,1,0.617,12.03,1,1
C1=C([1*])NC([2*])=C1[3*],C1=C([1*])NC([2*])=C1[3*],C1=CNC=C1,3,1,0.617,12.03,1,1
C1=C([1*])N([2*])C=C1,C1=C([1*])N([2*])C=C1,C1=CNC=C1,2,1,0.617,12.03,1,1
C1=C([1*])N([2*])C=C1[3*],C1=C([1*])N([2*])C=C1[3*],C1=CNC=C1,3,1,0.617,12.03,1,1
C1=C([1*])N([2*])C([3*])=C1,C1=C([1*])N([2*])C([3*])=C1,C1=CNC=C1,3,1,0.617,12.03,1,1
C1=C([1*])N([2*])C([3*])=C1[4*],C1=C([1*])N([2*])C([3*])=C1[4*],C1=CNC=C1,4,1,0.617,12.03,1,1
[1*]C1=CNC=C1,[1*]C1=CNC=C1,C1=CNC=C1,1,1,0.617,12.03,1,1
[1*]C1=CNC=C1[2*],[1*]C1=CNC=C1[2*],C1=CNC=C1,2,1,0.617,12.03,1,1
[1*]C1=CNC([2*])=C1,[1*]C1=CNC([2*])=C1,C1=CNC=C1,2,1,0.617,12.03,1,1
[1*]C1=CNC([2*])=C1[3*],[1*]C1=CNC([2*])=C1[3*],C1=CNC=C1,3,1,0.617,12.03,1,1
[1*]C1=CN([2*])C=C1,[1*]C1=CN([2*])C=C1,C1=CNC=C1,2,1,0.617,12.03,1,1
[1*]C1=CN([2*])C=C1[3*],[1*]C1=CN([2*])C=C1[3*],C1=CNC=C1,3,1,0.617,12.03,1,1
[1*]C1=CN([2*])C([3*])=C1,[1*]C1=CN([2*])C([3*])=C1,C1=CNC=C1,3,1,0.617,12.03,1,1
[1*]C1=CN([2*])C([3*])=C1[4*],[1*]C1=CN([2*])C([3*])=C1[4*],C1=CNC=C1,4,1,0.617,12.03,1,1
[1*]C1=C([2*])NC=C1,[1*]C1=C([2*])NC=C1,C1=CNC=C1,2,1,0.617,12.03,1,1
[1*]C1=C([2*])NC=C1[3*],[1*]C1=C([2*])NC=C1[3*],C1=CNC=C1,3,1,0.617,12.03,1,1
[1*]C1=C([2*])NC([3*])=C1,[1*]C1=C([2*])NC([3*])=C1,C1=CNC=C1,3,1,0.617,12.03,1,1
[1*]C1=C([2*])NC([3*])=C1[4*],[1*]C1=C([2*])NC([3*])=C1[4*],C1=CNC=C1,4,1,0.617,12.03,1,1
[1*]C1=C([2*])N([3*])C=C1,[1*]C1=C([2*])N([3*])C=C1,C1=CNC=C1,3,1,0.617,12.03,1,1
[1*]C1=C([2*])N([3*])C=C1[4*],[1*]C1=C([2*])N([3*])C=C1[4*],C1=CNC=C1,4,1,0.617,12.03,1,1
[1*]C1=C([2*])N([3*])C([4*])=C1,[1*]C1=C([2*])N([3*])C([4*])=C1,C1=CNC=C1,4,1,0.617,12.03,1,1
[1*]C1=C([2*])N([3*])C([4*])=C1[5*],[1*]C1=C([2*])N([3*])C([4*])=C1[5*],C1=CNC=C1,5,1,0.617,12.03,1,1
