SMILES,with_star,no_star,num_star,ring_count,logP,TPSA,HBD,HBA
[1*]C(F)(F)F,[1*]C(F)(F)F,C(F)(F)F,1,0,1.1784999999999999,0.0,0,0
F[1*],F[1*],F,1,0,0.15250000000000002,0.0,0,0
Cl[1*],Cl[1*],Cl,1,0,0.4218,0.0,0,0
Br[1*],Br[1*],Br,1,0,0.5779000000000001,0.0,0,0
I[1*],I[1*],I,1,0,0.6180000000000001,0.0,0,0
OB(O)[1*],OB(O)[1*],OB(O),1,0,-1.7625000000000002,40.46,2,2
[1*]C1=NN=NN1,[1*]C1=NN=NN1,C1=NN=NN1,1,1,-0.09989999999999993,49.11,1,4
OC([1*])=O,OC([1*])=O,OC=O,1,0,-0.29919999999999997,37.3,1,1
OC([1*])=S,OC([1*])=S,OC=S,1,0,0.5016,20.23,1,1
C[1*],C[1*],C,1,0,0.6361,0.0,0,0
S[1*],S[1*],S,1,0,0.11280000000000001,0.0,0,0
CS[1*],CS[1*],CS,1,0,0.546,0.0,1,1
O=C(NC)[1*],O=C(NC)[1*],O=C(NC),1,0,-0.6378000000000001,29.1,1,1
NC([1*])=O,NC([1*])=O,NC=O,1,0,-0.8985000000000001,43.09,1,1
CC[1*],CC[1*],CC,1,0,1.0262,0.0,0,0
N[1*],N[1*],N,1,0,0.16199999999999998,35.0,1,1
CN[1*],CN[1*],CN,1,0,-0.4251,26.02,1,1
CN(C)[1*],CN(C)[1*],CN(C),1,0,-0.1644000000000001,12.03,1,1
C[N+](C)(C)[1*],C[N+](C)(C)[1*],C[N+](C)(C),1,0,0.015900000000000025,5.900000000000002,0,1
O[1*],O[1*],O,1,0,-0.8247,31.5,0,0
CO[1*],CO[1*],CO,1,0,-0.3915,20.23,1,1
CC(O[1*])=O,CC(O[1*])=O,CC(O)=O,1,0,0.09089999999999993,37.3,1,1
CC(N[1*])=O,CC(N[1*])=O,CC(N)=O,1,0,-0.5084000000000002,43.09,1,1
CC([1*])=O,CC([1*])=O,CC=O,1,0,0.2052,17.07,0,1
[1*]C1=CC=CC=C1,[1*]C1=CC=CC=C1,C1=CC=CC=C1,1,1,1.6685999999999999,0.0,0,0
[1*]C2=C([2*])C=C([3*])C=C2,[1*]C2=C([2*])C=C([3*])C=C2,C2=CC=CC=C2,3,1,1.6685999999999999,0.0,0,0
[1*]C3=CC([2*])=CC=C3,[1*]C3=CC([2*])=CC=C3,C3=CC=CC=C3,2,1,1.6685999999999999,0.0,0,0
[1*]C4=CC=C([2*])C=C4,[1*]C4=CC=C([2*])C=C4,C4=CC=CC=C4,2,1,1.6685999999999999,0.0,0,0
[1*]C5=C([2*])C=CC=C5,[1*]C5=C([2*])C=CC=C5,C5=CC=CC=C5,2,1,1.6685999999999999,0.0,0,0
[1*]C6=C([2*])C([3*])=CC=C6,[1*]C6=C([2*])C([3*])=CC=C6,C6=CC=CC=C6,3,1,1.6685999999999999,0.0,0,0
[1*]C7=CC([2*])=CC([3*])=C7,[1*]C7=CC([2*])=CC([3*])=C7,C7=CC=CC=C7,3,1,1.6685999999999999,0.0,0,0
[1*]C8=CC=NC=C8,[1*]C8=CC=NC=C8,C8=CC=NC=C8,1,1,1.1407,12.36,0,1
[1*]C9=C([2*])C=C([3*])N=C9,[1*]C9=C([2*])C=C([3*])N=C9,C9=CC=CN=C9,3,1,1.1407,12.36,0,1
[1*]C%10=CC([2*])=NC=C%10,[1*]C%10=CC([2*])=NC=C%10,C%10=CC=NC=C%10,2,1,1.1407,12.36,0,1
[1*]C%11=NC=C([2*])C=C%11,[1*]C%11=NC=C([2*])C=C%11,C%11=NC=CC=C%11,2,1,1.1407,12.36,0,1
[1*]C%12=C([2*])C=NC=C%12,[1*]C%12=C([2*])C=NC=C%12,C%12=CC=NC=C%12,2,1,1.1407,12.36,0,1
